Rank,Title,Studio,Worldwide,Domestic / %,Overseas / %,Year^,,
1,Avatar,Fox,"$2,788.00 ",$760.50 ,27.30%,"$2,027.50 ",72.70%,2009^
2,Titanic,Par.,"$2,187.50 ",$659.40 ,30.10%,"$1,528.10 ",69.90%,1997^
3,Star Wars: The Force Awakens,BV,"$2,068.20 ",$936.70 ,45.30%,"$1,131.60 ",54.70%,2015
4,Avengers: Infinity War,BV,"$2,047.70 ",$678.80 ,33.20%,"$1,368.90 ",66.80%,2018
5,Jurassic World,Uni.,"$1,671.70 ",$652.30 ,39.00%,"$1,019.40 ",61.00%,2015
6,Marvel's The Avengers,BV,"$1,518.80 ",$623.40 ,41.00%,$895.50 ,59.00%,2012
7,Furious 7,Uni.,"$1,516.00 ",$353.00 ,23.30%,"$1,163.00 ",76.70%,2015
8,Avengers: Age of Ultron,BV,"$1,405.40 ",$459.00 ,32.70%,$946.40 ,67.30%,2015
9,Black Panther,BV,"$1,346.90 ",$700.10 ,52.00%,$646.90 ,48.00%,2018
10,Harry Potter and the Deathly Hallows Part 2,WB,"$1,341.50 ",$381.00 ,28.40%,$960.50 ,71.60%,2011
11,Star Wars: The Last Jedi,BV,"$1,332.50 ",$620.20 ,46.50%,$712.40 ,53.50%,2017
12,Jurassic World: Fallen Kingdom,Uni.,"$1,304.90 ",$416.80 ,31.90%,$888.20 ,68.10%,2018
13,Frozen,BV,"$1,276.50 ",$400.70 ,31.40%,$875.70 ,68.60%,2013
14,Beauty and the Beast (2017),BV,"$1,263.50 ",$504.00 ,39.90%,$759.50 ,60.10%,2017
15,Incredibles 2,BV,"$1,241.10 ",$608.60 ,49.00%,$632.50 ,51.00%,2018
16,The Fate of the Furious,Uni.,"$1,236.00 ",$226.00 ,18.30%,"$1,010.00 ",81.70%,2017
17,Iron Man 3,BV,"$1,214.80 ",$409.00 ,33.70%,$805.80 ,66.30%,2013
18,Minions,Uni.,"$1,159.40 ",$336.00 ,29.00%,$823.40 ,71.00%,2015
19,Captain America: Civil War,BV,"$1,153.30 ",$408.10 ,35.40%,$745.20 ,64.60%,2016
20,Transformers: Dark of the Moon,P/DW,"$1,123.80 ",$352.40 ,31.40%,$771.40 ,68.60%,2011
21,The Lord of the Rings: The Return of the King,NL,"$1,119.90 ",$377.80 ,33.70%,$742.10 ,66.30%,2003^
22,Skyfall,Sony,"$1,108.60 ",$304.40 ,27.50%,$804.20 ,72.50%,2012
23,Transformers: Age of Extinction,Par.,"$1,104.10 ",$245.40 ,22.20%,$858.60 ,77.80%,2014
24,The Dark Knight Rises,WB,"$1,084.90 ",$448.10 ,41.30%,$636.80 ,58.70%,2012
25,Toy Story 3,BV,"$1,067.00 ",$415.00 ,38.90%,$652.00 ,61.10%,2010
26,Pirates of the Caribbean: Dead Man's Chest,BV,"$1,066.20 ",$423.30 ,39.70%,$642.90 ,60.30%,2006
27,Rogue One: A Star Wars Story,BV,"$1,056.10 ",$532.20 ,50.40%,$523.90 ,49.60%,2016
28,Pirates of the Caribbean: On Stranger Tides,BV,"$1,045.70 ",$241.10 ,23.10%,$804.60 ,76.90%,2011
29,Despicable Me 3,Uni.,"$1,034.80 ",$264.60 ,25.60%,$770.20 ,74.40%,2017
30,Jurassic Park,Uni.,"$1,029.20 ",$402.50 ,39.10%,$626.70 ,60.90%,1993^
31,Finding Dory,BV,"$1,028.60 ",$486.30 ,47.30%,$542.30 ,52.70%,2016
32,Star Wars: Episode I - The Phantom Menace,Fox,"$1,027.00 ",$474.50 ,46.20%,$552.50 ,53.80%,1999^
33,Alice in Wonderland (2010),BV,"$1,025.50 ",$334.20 ,32.60%,$691.30 ,67.40%,2010
34,Zootopia,BV,"$1,023.80 ",$341.30 ,33.30%,$682.50 ,66.70%,2016
35,The Hobbit: An Unexpected Journey,WB (NL),"$1,021.10 ",$303.00 ,29.70%,$718.10 ,70.30%,2012
36,The Dark Knight,WB,"$1,004.60 ",$534.90 ,53.20%,$469.70 ,46.80%,2008^
37,Harry Potter and the Sorcerer's Stone,WB,$974.80 ,$317.60 ,32.60%,$657.20 ,67.40%,2001
38,Despicable Me 2,Uni.,$970.80 ,$368.10 ,37.90%,$602.70 ,62.10%,2013
39,The Lion King,BV,$968.50 ,$422.80 ,43.70%,$545.70 ,56.30%,1994^
40,The Jungle Book (2016),BV,$966.60 ,$364.00 ,37.70%,$602.50 ,62.30%,2016
41,Pirates of the Caribbean: At World's End,BV,$963.40 ,$309.40 ,32.10%,$654.00 ,67.90%,2007
42,Jumanji: Welcome to the Jungle,Sony,$962.10 ,$404.50 ,42.00%,$557.60 ,58.00%,2017
43,Harry Potter and the Deathly Hallows Part 1,WB,$960.30 ,$296.00 ,30.80%,$664.30 ,69.20%,2010
44,The Hobbit: The Desolation of Smaug,WB (NL),$958.40 ,$258.40 ,27.00%,$700.00 ,73.00%,2013
45,The Hobbit: The Battle of the Five Armies,WB (NL),$956.00 ,$255.10 ,26.70%,$700.90 ,73.30%,2014
46,Finding Nemo,BV,$940.30 ,$380.80 ,40.50%,$559.50 ,59.50%,2003^
47,Harry Potter and the Order of the Phoenix,WB,$939.90 ,$292.00 ,31.10%,$647.90 ,68.90%,2007
48,Harry Potter and the Half-Blood Prince,WB,$934.40 ,$302.00 ,32.30%,$632.50 ,67.70%,2009
49,The Lord of the Rings: The Two Towers,NL,$926.00 ,$342.60 ,37.00%,$583.50 ,63.00%,2002^
50,Shrek 2,DW,$919.80 ,$441.20 ,48.00%,$478.60 ,52.00%,2004
51,Harry Potter and the Goblet of Fire,WB,$896.90 ,$290.00 ,32.30%,$606.90 ,67.70%,2005
52,Spider-Man 3,Sony,$890.90 ,$336.50 ,37.80%,$554.30 ,62.20%,2007
53,Ice Age: Dawn of the Dinosaurs,Fox,$886.70 ,$196.60 ,22.20%,$690.10 ,77.80%,2009
54,Spectre,Sony,$880.70 ,$200.10 ,22.70%,$680.60 ,77.30%,2015
55,Spider-Man: Homecoming,Sony,$880.20 ,$334.20 ,38.00%,$546.00 ,62.00%,2017
56,Harry Potter and the Chamber of Secrets,WB,$879.00 ,$262.00 ,29.80%,$617.00 ,70.20%,2002
57,Ice Age: Continental Drift,Fox,$877.20 ,$161.30 ,18.40%,$715.90 ,81.60%,2012
58,The Secret Life of Pets,Uni.,$875.50 ,$368.40 ,42.10%,$507.10 ,57.90%,2016
59,Batman v Superman: Dawn of Justice,WB,$873.60 ,$330.40 ,37.80%,$543.30 ,62.20%,2016
60,The Lord of the Rings: The Fellowship of the Ring,NL,$871.50 ,$315.50 ,36.20%,$556.00 ,63.80%,2001^
61,Wolf Warrior 2,HC,$870.30 ,$2.70 ,0.30%,$867.60 ,99.70%,2017
62,The Hunger Games: Catching Fire,LGF,$865.00 ,$424.70 ,49.10%,$440.30 ,50.90%,2013
63,Guardians of the Galaxy Vol. 2,BV,$863.80 ,$389.80 ,45.10%,$473.90 ,54.90%,2017
64,Inside Out,BV,$857.60 ,$356.50 ,41.60%,$501.10 ,58.40%,2015
65,Thor: Ragnarok,BV,$854.00 ,$315.10 ,36.90%,$538.90 ,63.10%,2017
66,Star Wars: Episode III - Revenge of the Sith,Fox,$848.80 ,$380.30 ,44.80%,$468.50 ,55.20%,2005^
67,Venom (2018),Sony,$845.50 ,$212.30 ,25.10%,$633.20 ,74.90%,2018
68,Transformers: Revenge of the Fallen,P/DW,$836.30 ,$402.10 ,48.10%,$434.20 ,51.90%,2009
69,The Twilight Saga: Breaking Dawn Part 2,LG/S,$829.70 ,$292.30 ,35.20%,$537.40 ,64.80%,2012
70,Inception,WB,$828.30 ,$292.60 ,35.30%,$535.70 ,64.70%,2010
71,Wonder Woman,WB,$821.80 ,$412.60 ,50.20%,$409.30 ,49.80%,2017
72,Spider-Man,Sony,$821.70 ,$403.70 ,49.10%,$418.00 ,50.90%,2002
73,Independence Day,Fox,$817.40 ,$306.20 ,37.50%,$511.20 ,62.50%,1996^
74,Fantastic Beasts and Where To Find Them,WB,$814.00 ,$234.00 ,28.80%,$580.00 ,71.20%,2016
75,Coco,BV,$807.10 ,$209.70 ,26.00%,$597.40 ,74.00%,2017
76,Shrek the Third,P/DW,$799.00 ,$322.70 ,40.40%,$476.20 ,59.60%,2007
77,Harry Potter and the Prisoner of Azkaban,WB,$796.70 ,$249.50 ,31.30%,$547.10 ,68.70%,2004
78,Pirates of the Caribbean: Dead Men Tell No Tales,BV,$794.90 ,$172.60 ,21.70%,$622.30 ,78.30%,2017
79,E.T.: The Extra-Terrestrial,Uni.,$792.90 ,$435.10 ,54.90%,$357.80 ,45.10%,1982^
80,Mission: Impossible - Fallout,Par.,$791.00 ,$220.20 ,27.80%,$570.90 ,72.20%,2018
81,Fast & Furious 6,Uni.,$788.70 ,$238.70 ,30.30%,$550.00 ,69.70%,2013
82,Indiana Jones and the Kingdom of the Crystal Skull,Par.,$786.60 ,$317.10 ,40.30%,$469.50 ,59.70%,2008
83,Spider-Man 2,Sony,$783.80 ,$373.60 ,47.70%,$410.20 ,52.30%,2004
84,Deadpool,Fox,$783.10 ,$363.10 ,46.40%,$420.00 ,53.60%,2016
85,Star Wars,Fox,$775.40 ,$461.00 ,59.50%,$314.40 ,40.50%,1977^
86,Guardians of the Galaxy,BV,$773.30 ,$333.20 ,43.10%,$440.20 ,56.90%,2014
87,2012,Sony,$769.70 ,$166.10 ,21.60%,$603.60 ,78.40%,2009
88,Maleficent,BV,$758.50 ,$241.40 ,31.80%,$517.10 ,68.20%,2014
89,The Da Vinci Code,Sony,$758.20 ,$217.50 ,28.70%,$540.70 ,71.30%,2006
90,The Amazing Spider-Man,Sony,$757.90 ,$262.00 ,34.60%,$495.90 ,65.40%,2012
91,The Hunger Games: Mockingjay - Part 1,LGF,$755.40 ,$337.10 ,44.60%,$418.20 ,55.40%,2014
92,Shrek Forever After,P/DW,$752.60 ,$238.70 ,31.70%,$513.90 ,68.30%,2010
93,X-Men: Days of Future Past,Fox,$747.90 ,$233.90 ,31.30%,$513.90 ,68.70%,2014
94,Madagascar 3: Europe's Most Wanted,P/DW,$746.90 ,$216.40 ,29.00%,$530.50 ,71.00%,2012
95,Suicide Squad,WB,$746.80 ,$325.10 ,43.50%,$421.70 ,56.50%,2016
96,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,$745.00 ,$291.70 ,39.20%,$453.30 ,60.80%,2005
97,Monsters University,BV,$744.20 ,$268.50 ,36.10%,$475.70 ,63.90%,2013
98,The Matrix Reloaded,WB,$742.10 ,$281.60 ,37.90%,$460.60 ,62.10%,2003
99,Up,BV,$735.10 ,$293.00 ,39.90%,$442.10 ,60.10%,2009
100,Deadpool 2,Fox,$734.20 ,$318.50 ,43.40%,$415.80 ,56.60%,2018